# COMBINED SOURCE LIST
# created by JV on  Fri Nov 20 12:13:21 2009
# field = 05hr
# input run = 3sig_nclean_pf
# 86.7127 square degrees used
# 150 GHz map RMS depth =       1.27101
# 220 GHz map RMS depth =       3.35460
# Units are degrees, mJy, arcsec
# desc: ID@@int index150@@int index220@@int ix@@float iy@@float ra@@float dec@@float SNR150@@float S_150@@float noise_150@@float SNR220@@float S_220@@float noise_220@@float alpha@@float dr_SUMSS@@float dr_IRAS@@float dr_RASS@@float dr_AT20G@@float
86   98   127   2440.00   2566.00   89.846252   -59.010220   5.69805   7.10479   1.24688   4.25823   13.9437   3.27453   1.85649   6   201   514   5941
87   81   -1   2424.81   2463.91   89.637985   -58.592510   6.43115   8.01888   1.24688   2.63460   8.62708   3.27453   0.201290   9   1445   401   4621
88   79   -1   1054.46   1759.00   78.958359   -55.775715   6.56017   8.35608   1.27376   2.17685   7.32898   3.36678   -0.361113   4   1328   773   3397
89   78   -1   1008.00   1704.68   78.637978   -55.538937   6.60884   8.30167   1.25615   1.94369   6.50257   3.34548   -0.672540   10   566   449   3483
90   75   -1   474.000   578.811   75.546188   -50.678822   6.76220   8.86368   1.31077   1.15021   3.97990   3.46014   -2.20465   7   1459   1184   1488
91   -1   38   2237.90   1329.10   87.509079   -53.943420   2.69211   3.53517   1.31316   6.15171   21.0185   3.41670   4.90829   101   951   1069   4214
92   76   -1   1593.68   1377.32   82.946159   -54.241436   6.66435   8.48877   1.27376   0.792782   2.66912   3.36678   -3.18565   8   412   802   2229
93   84   -1   2408.22   2324.00   89.394417   -58.018261   6.36657   7.93835   1.24688   2.04377   6.69239   3.27453   -0.470098   15   602   1347   3128
94   82   -1   983.486   1212.00   78.665794   -53.483383   6.38668   8.13510   1.27376   1.74272   5.86737   3.36678   -0.899754   23   941   1436   4803
95   83   -1   886.000   1923.00   77.622940   -56.413551   6.36660   7.99738   1.25615   1.27609   4.26914   3.34548   -1.72830   6   1578   577   3181
96   100   1152   776.000   2237.73   76.583992   -57.684818   5.61243   6.79448   1.21061   3.25313   10.4202   3.20313   1.17744   3   544   456   1406
97   88   -1   935.000   717.000   78.526985   -51.410301   6.29262   8.24817   1.31077   1.51076   5.22745   3.46014   -1.25573   5   197   1148   1738
98   85   -1   1790.00   1459.68   84.359505   -54.573509   6.36352   8.10560   1.27376   1.07147   3.60742   3.36678   -2.22903   83   192   1366   1310
99   80   -1   1501.00   1714.81   82.270500   -55.647156   6.44192   8.20545   1.27376   0.00000   -0.0187257   3.36678   -43.8347   4   1122   1165   2284
100   121   157   1641.00   1533.00   83.292824   -54.888927   4.93536   6.28647   1.27376   4.12350   13.8829   3.36678   2.18140   8   300   736   1273
101   92   -1   1620.61   2327.66   83.185699   -58.202209   6.02019   7.35119   1.22109   2.23352   7.13667   3.19525   -0.0815459   9   1034   604   4298
102   167   63   1897.20   2257.00   85.348389   -57.881538   4.26890   5.21271   1.22109   4.78176   15.2789   3.19525   2.96092   73   1293   798   4390
103   116   233   2558.47   1265.00   89.728310   -53.564259   5.00762   6.57582   1.31316   3.90812   13.3529   3.41670   1.95031   11   31   455   490
104   114   443   732.000   1495.00   76.741837   -54.584969   5.14663   6.46492   1.25615   3.64208   12.1845   3.34548   1.74502   8   654   14   5653
105   93   -1   572.445   1066.77   75.892296   -52.746735   5.96130   7.48826   1.25615   1.94620   6.51097   3.34548   -0.385055   32   1611   581   2811
106   139   133   2232.00   1336.21   87.472214   -53.974747   4.59349   6.03200   1.31316   4.23730   14.4776   3.41670   2.41064   189   1087   1149   4324
107   206   68   1800.60   2743.60   84.706070   -59.926128   4.06680   4.96593   1.22109   4.73940   15.1436   3.19525   3.06995   609   232   142   3554
108   90   -1   2078.48   2754.00   87.020470   -59.917095   6.14959   7.66781   1.24688   0.934958   3.06155   3.27453   -2.52791   8   433   403   7728
109   94   -1   2373.57   1760.00   88.731216   -55.689884   5.91379   7.76578   1.31316   1.84524   6.30464   3.41670   -0.573917   6   1353   90   1788
110   103   -1   2500.14   1361.50   89.383652   -53.988346   5.44359   7.14832   1.31316   2.82950   9.66754   3.41670   0.831238   10   202   192   2034
111   95   -1   2140.25   2267.64   87.257545   -57.873737   5.88792   7.34154   1.24688   1.61243   5.27996   3.27453   -0.907601   5   929   728   1318
112   248   72   1197.36   1205.40   80.163528   -53.497734   3.90499   4.97402   1.27376   4.66444   15.7042   3.36678   3.16556   297   865   1078   1911
113   96   -1   1990.00   2394.54   86.131477   -58.438202   5.88214   7.18262   1.22109   1.52514   4.87321   3.19525   -1.06807   10   553   416   4204
114   388   65   2307.84   1784.00   88.258789   -55.812206   3.64421   4.78545   1.31316   4.77859   16.3270   3.41670   3.37906   529   1820   667   1455
115   146   194   1878.00   1694.00   85.048431   -55.538925   4.48967   5.71876   1.27376   3.99463   13.4491   3.36678   2.35457   259   15   398   1387
116   97   -1   1136.23   548.229   79.914032   -50.748074   5.78310   7.45528   1.28915   1.37213   4.75436   3.46495   -1.23863   9   532   7   3318
117   -1   41   2616.31   766.000   89.787773   -51.468914   1.24531   1.64069   1.31750   5.68004   19.6780   3.46442   6.84046   750   6   1094   3541
118   -1   46   653.000   1305.00   76.297363   -53.767162   2.06474   2.59361   1.25615   5.39453   18.0473   3.34548   5.34141   82   568   766   2994
119   99   -1   969.140   736.875   78.747734   -51.501431   5.67615   7.31740   1.28915   1.03793   3.59638   3.46495   -1.95580   5   668   990   1978
120   101   -1   2281.11   576.385   87.464989   -50.798279   5.57747   7.34831   1.31750   1.46634   5.08000   3.46442   -1.01643   15   670   530   4879
121   -1   44   1127.00   2611.14   79.164719   -59.341118   1.95008   2.38123   1.22109   5.42153   17.3232   3.19525   5.46389   189   897   266   4396
122   105   -1   439.285   1017.54   75.014687   -52.484982   5.33440   6.70079   1.25615   2.15267   7.20172   3.34548   0.198506   18   1979   923   3139
123   102   -1   581.397   1240.60   75.839088   -53.471691   5.55699   6.98039   1.25615   1.42728   4.77495   3.34548   -1.04552   8   1312   694   1681
124   823   79   790.000   1266.00   77.283043   -53.653416   3.27321   4.11163   1.25615   4.60893   15.4191   3.34548   3.63939   268   314   205   4836
125   339   125   1543.79   1087.24   82.592117   -53.032524   3.70562   4.72007   1.27376   4.26266   14.3514   3.36678   3.06183   560   522   739   1088
126   -1   45   2051.87   2526.13   86.684372   -58.973064   1.58879   1.94005   1.22109   5.40911   17.2835   3.19525   6.02175   301   1209   509   5407
127   109   -1   1811.00   1905.28   84.597778   -56.427471   5.21621   6.64420   1.27376   2.10330   7.08135   3.36678   0.175447   14   669   648   1011
128   104   -1   628.000   500.644   76.600105   -50.414513   5.37375   7.04374   1.31077   1.64077   5.67729   3.46014   -0.593810   23   954   343   906
129   368   136   1616.24   1441.53   83.108185   -54.508488   3.66983   4.67447   1.27376   4.20928   14.1717   3.36678   3.05387   193   39   160   1424
130   134   2015   1967.38   2341.82   85.931320   -58.222900   4.66576   5.69731   1.22109   3.01521   9.63436   3.19525   1.44647   19   375   469   3939
131   106   -1   1655.87   449.127   83.331993   -50.367382   5.33143   6.87301   1.28915   1.46812   5.08696   3.46495   -0.828556   8   783   597   2801
132   476   128   1829.00   1272.00   84.602074   -53.787453   3.53049   4.49699   1.27376   4.25210   14.3159   3.36678   3.18831   374   363   872   1241
133   898   96   2194.00   2566.62   87.856499   -59.103073   3.23334   4.03159   1.24688   4.47441   14.6516   3.27453   3.55294   128   221   318   5658
134   -1   66   2425.00   424.839   88.334602   -50.121719   2.68762   3.54094   1.31750   4.75794   16.4835   3.46442   4.23461   543   1002   937   2524
135   803   110   1718.00   583.000   83.748741   -50.923584   3.28028   4.22878   1.28915   4.36086   15.1102   3.46495   3.50631   157   173   662   1113
136   107   -1   1273.69   1833.31   80.565437   -56.123550   5.24329   6.67869   1.27376   1.50484   5.06647   3.36678   -0.760695   13   757   676   13
137   -1   56   1898.00   2199.00   85.337044   -57.639668   2.23897   2.73399   1.22109   4.92519   15.7372   3.19525   4.81916   294   461   657   4265
138   422   206   1433.00   672.000   81.858009   -51.297039   3.60198   4.64349   1.28915   3.95877   13.7169   3.46495   2.98237   40   430   1681   2487
139   1070   123   1047.00   653.000   79.293388   -51.168747   3.15684   4.06964   1.28915   4.28274   14.8395   3.46495   3.56216   257   658   1177   2028
140   -1   59   2408.00   1132.16   88.595573   -53.070702   2.19583   2.88348   1.31316   4.83395   16.5161   3.41670   4.80559   327   1578   274   2593
141   119   -1   1973.00   436.179   85.399620   -50.281696   4.97515   6.41372   1.28915   1.84064   6.37774   3.46495   -0.0154878   91   1082   1277   3673
142   -1   54   1647.00   994.000   83.301804   -52.642246   1.65494   2.10800   1.27376   5.03962   16.9673   3.36678   5.74231   12   9   744   2009
143   122   -1   1624.00   2125.84   83.200752   -57.360241   4.91177   5.99771   1.22109   1.97433   6.30849   3.19525   0.139097   330   611   375   3318
