# SPT ID	RA	DEC	S/N (2.0mm)	S_raw (2.0mm) [mJy]	S_best (2.0mm) [mJy]	dS_up (2.0mm) [mJy]	dS_down (2.0mm) [mJy]	S/N (1.4mm)	S_raw (1.4mm) [mJy]	S_best (1.4mm) [mJy]	dS_up (1.4mm) [mJy]	dS_down (1.4mm) [mJy]	alpha_raw	alpha_best	d_alpha_up	d_alpha_down	P(alpha>1)	Type	dR_SUMSS [arcsec]	dR_RASS [arcsec]	dR_IRAS [arcsec]
SPT-S_J050227-5326.5	  75.615	 -53.443	   3.03	   3.81	   0.37	   0.52	   0.21	   1.55	   5.18	   0.68	   1.70	   0.51	   0.8	   1.6	   2.4	   3.0	   0.49	sync	  96	 998	1113
SPT-S_J050228-5314.6	  75.619	 -53.245	   1.27	   1.59	   0.72	   1.03	   0.49	   3.41	  11.41	   0.91	   1.11	   0.51	   5.4	   0.9	   2.7	   2.5	   0.40	sync	 336	 861	1060
SPT-S_J050228-5432.9	  75.619	 -54.549	   3.94	   4.95	   2.54	   2.23	   2.06	   2.65	   8.87	   4.87	   4.31	   3.86	   1.6	   2.0	   1.9	   2.3	   0.55	dust	 685	 847	1075
SPT-S_J050229-5523.7	  75.621	 -55.395	   0.35	   0.44	   0.47	   0.69	   0.32	   3.69	  12.33	   0.75	   0.99	   0.42	   9.1	   1.8	   2.2	   2.7	   0.52	dust	 450	 532	 994
SPT-S_J050229-5316.3	  75.621	 -53.272	   0.00	  -1.69	   0.27	   0.38	   0.16	   3.16	  10.58	   0.57	   0.67	   0.30	   NaN	   2.5	   1.8	   2.6	   0.64	dust	 343	 887	1045
SPT-S_J050229-5730.1	  75.622	 -57.503	   0.41	   0.50	   0.46	   0.68	   0.31	   3.42	  10.94	   0.75	   0.94	   0.41	   8.4	   1.7	   2.2	   2.7	   0.51	dust	 162	1002	 199
SPT-S_J050230-5205.6	  75.626	 -52.095	   0.88	   1.16	   0.56	   0.87	   0.38	   3.12	  10.78	   0.78	   0.93	   0.42	   6.1	   1.2	   2.5	   2.6	   0.43	sync	 489	1057	1270
SPT-S_J050230-5318.5	  75.627	 -53.310	   3.53	   4.44	   0.28	   0.34	   0.15	   0.00	  -5.95	   0.33	   0.61	   0.22	   NaN	   0.1	   2.8	   2.2	   0.30	sync	 206	 861	1044
SPT-S_J050230-5622.5	  75.629	 -56.376	   0.00	  -3.25	   0.23	   0.26	   0.14	   3.16	  10.57	   0.51	   0.59	   0.26	   NaN	   2.8	   1.6	   2.4	   0.69	dust	 391	 203	1052
SPT-S_J050233-5053.2	  75.639	 -50.887	   0.00	  -0.83	   0.32	   0.49	   0.20	   3.43	  11.85	   0.61	   0.80	   0.31	   NaN	   2.2	   2.0	   2.7	   0.59	dust	 308	1202	1127
SPT-S_J050234-5611.0	  75.642	 -56.184	   0.62	   0.78	   0.50	   0.77	   0.34	   3.40	  11.38	   0.78	   0.96	   0.45	   7.3	   1.5	   2.4	   2.7	   0.48	sync	 477	 369	 380
SPT-S_J050235-5228.1	  75.649	 -52.469	   0.32	   0.40	   0.43	   0.64	   0.28	   3.01	  10.08	   0.69	   0.83	   0.38	   8.8	   1.7	   2.3	   2.7	   0.50	dust	 439	1300	2007
SPT-S_J050235-5814.8	  75.650	 -58.247	   4.01	   4.86	   0.33	   0.58	   0.18	   0.00	  -4.51	   0.41	   0.84	   0.27	   NaN	  -0.1	   2.9	   2.1	   0.27	sync	 301	 745	 550
SPT-S_J050241-5522.1	  75.674	 -55.369	   0.00	  -1.97	   0.27	   0.35	   0.17	   3.46	  11.59	   0.58	   0.70	   0.30	   NaN	   2.6	   1.7	   2.5	   0.65	dust	 310	 552	1082
SPT-S_J050242-5006.5	  75.677	 -50.108	   0.00	  -0.88	   0.33	   0.45	   0.22	   3.32	  11.48	   0.61	   0.75	   0.32	   NaN	   2.2	   2.0	   2.7	   0.59	dust	 379	 470	 775
SPT-S_J050245-5250.4	  75.690	 -52.840	   3.34	   4.19	   0.33	   0.44	   0.18	   0.35	   1.18	   0.48	   1.07	   0.34	  -3.4	   0.8	   2.7	   2.6	   0.39	sync	 266	 441	1058
SPT-S_J050246-5335.6	  75.695	 -53.595	   1.22	   1.53	   0.69	   1.02	   0.47	   3.37	  11.28	   0.90	   1.08	   0.51	   5.4	   1.0	   2.6	   2.5	   0.41	sync	 246	1234	1507
SPT-S_J050247-5440.2	  75.698	 -54.671	   0.49	   0.61	   0.45	   0.71	   0.29	   3.06	  10.23	   0.72	   0.86	   0.40	   7.7	   1.6	   2.3	   2.7	   0.49	sync	 755	 714	 819
