# SPT ID	RA	DEC	S/N (2.0mm)	S_raw (2.0mm) [mJy]	S_best (2.0mm) [mJy]	dS_up (2.0mm) [mJy]	dS_down (2.0mm) [mJy]	S/N (1.4mm)	S_raw (1.4mm) [mJy]	S_best (1.4mm) [mJy]	dS_up (1.4mm) [mJy]	dS_down (1.4mm) [mJy]	alpha_raw	alpha_best	d_alpha_up	d_alpha_down	P(alpha>1)	Type	dR_SUMSS [arcsec]	dR_RASS [arcsec]	dR_IRAS [arcsec]
SPT-S_J052819-5814.1	  82.080	 -58.236	   0.62	   0.75	   0.53	   0.75	   0.34	   3.59	  11.46	   0.81	   1.05	   0.45	   7.4	   1.6	   2.3	   2.7	   0.49	sync	 411	 629	  84
SPT-S_J052821-5357.3	  82.088	 -53.955	   1.76	   2.24	   1.12	   1.28	   0.79	   3.81	  12.84	   1.17	   1.52	   0.67	   4.8	   0.5	   2.8	   2.3	   0.35	sync	 627	 413	 429
SPT-S_J052821-5228.0	  82.089	 -52.467	   0.40	   0.51	   0.45	   0.68	   0.30	   3.18	  10.72	   0.71	   0.88	   0.40	   8.3	   1.6	   2.3	   2.7	   0.50	sync	 306	1480	1287
SPT-S_J052825-5317.5	  82.105	 -53.293	   0.76	   0.97	   0.54	   0.81	   0.36	   3.21	  10.81	   0.78	   0.93	   0.45	   6.6	   1.3	   2.5	   2.6	   0.46	sync	 669	 116	 660
SPT-S_J052827-5831.9	  82.114	 -58.533	   0.00	  -0.42	   0.35	   0.50	   0.22	   3.35	  10.71	   0.65	   0.82	   0.36	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 319	 868	 449
SPT-S_J052827-5243.0	  82.114	 -52.717	   3.27	   4.16	   0.35	   0.48	   0.20	   0.91	   3.06	   0.56	   1.30	   0.41	  -0.8	   1.2	   2.6	   2.8	   0.43	sync	 285	1541	1231
SPT-S_J052828-5326.0	  82.118	 -53.435	   3.13	   3.99	   0.36	   0.49	   0.20	   1.30	   4.36	   0.62	   1.49	   0.45	   0.2	   1.4	   2.5	   2.9	   0.46	sync	 231	 461	1074
SPT-S_J052829-5526.0	  82.124	 -55.435	   4.00	   5.09	   0.66	   3.04	   0.45	   1.41	   4.75	   1.33	   2.68	   1.07	  -0.2	   0.9	   2.7	   2.5	   0.38	sync	 370	 592	 365
SPT-S_J052830-5420.5	  82.127	 -54.343	   3.58	   4.56	   0.74	   2.41	   0.50	   2.27	   7.65	   1.86	   4.17	   1.53	   1.4	   2.0	   2.1	   2.9	   0.54	dust	 538	 539	 987
SPT-S_J052831-5007.7	  82.132	 -50.129	   0.00	  -0.13	   0.37	   0.56	   0.24	   3.07	  10.63	   0.65	   0.78	   0.36	   NaN	   1.9	   2.1	   2.7	   0.54	dust	 109	 669	 668
SPT-S_J052832-5433.8	  82.137	 -54.564	   7.53	   9.59	   9.15	   1.36	   1.36	   4.80	  16.18	  15.18	   3.67	   3.79	   1.4	   1.4	   0.7	   0.9	   0.35	sync	  13	 269	1582
SPT-S_J052833-5457.5	  82.139	 -54.960	   0.17	   0.21	   0.41	   0.62	   0.26	   3.15	  10.59	   0.69	   0.83	   0.38	  10.6	   1.8	   2.2	   2.7	   0.52	dust	 193	1382	1368
SPT-S_J052834-5511.0	  82.144	 -55.185	   3.22	   4.10	   0.34	   0.47	   0.19	   0.95	   3.20	   0.56	   1.29	   0.40	  -0.7	   1.2	   2.6	   2.8	   0.43	sync	  37	 649	 561
SPT-S_J052834-5820.3	  82.145	 -58.339	  19.89	  24.29	  24.07	   1.55	   1.59	   6.63	  21.17	  20.42	   3.73	   3.78	  -0.4	  -0.5	   0.5	   0.5	   0.00	sync	  23	 409	 134
SPT-S_J052835-5726.1	  82.147	 -57.436	   1.10	   1.34	   0.66	   0.94	   0.44	   3.50	  11.20	   0.89	   1.13	   0.50	   5.8	   1.2	   2.5	   2.6	   0.43	sync	 148	1489	 415
SPT-S_J052835-5140.7	  82.148	 -51.679	   3.00	   3.87	   0.27	   0.31	   0.14	   0.00	  -2.13	   0.37	   0.70	   0.25	   NaN	   0.5	   2.8	   2.4	   0.35	sync	 198	1764	 975
SPT-S_J052836-5819.4	  82.151	 -58.324	   3.11	   3.80	   0.43	   0.68	   0.26	   1.85	   5.93	   0.86	   2.21	   0.67	   1.2	   1.9	   2.2	   3.1	   0.53	dust	  74	 398	 184
SPT-S_J052836-5251.8	  82.152	 -52.863	   0.44	   0.56	   0.46	   0.69	   0.32	   3.13	  10.52	   0.72	   0.87	   0.39	   8.0	   1.6	   2.3	   2.7	   0.49	sync	 519	1340	 979
SPT-S_J052837-5447.0	  82.155	 -54.785	   0.00	  -0.82	   0.32	   0.46	   0.19	   3.03	  10.20	   0.60	   0.73	   0.33	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 659	1060	1439
SPT-S_J052838-5041.0	  82.158	 -50.685	   0.00	  -0.46	   0.36	   0.53	   0.23	   3.54	  12.25	   0.65	   0.83	   0.34	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 398	 753	 176
SPT-S_J052841-5726.0	  82.174	 -57.433	   1.93	   2.35	   1.65	   1.30	   1.11	   4.62	  14.76	   1.84	   6.72	   1.13	   5.0	   1.4	   2.6	   2.9	   0.47	sync	 190	1438	 442
SPT-S_J052842-5929.8	  82.175	 -59.498	   3.42	   4.17	   3.21	   1.32	   1.41	   3.61	  11.53	   2.04	   2.36	   0.89	   2.8	  -1.1	   2.4	   1.4	   0.13	sync	 574	 487	1280
SPT-S_J052842-5304.0	  82.179	 -53.068	   3.30	   4.20	   0.43	   0.78	   0.26	   1.72	   5.78	   0.84	   2.23	   0.64	   0.9	   1.7	   2.4	   3.0	   0.50	sync	  32	 622	 425
SPT-S_J052844-5558.1	  82.185	 -55.969	   3.30	   4.21	   0.37	   0.54	   0.21	   1.21	   4.07	   0.64	   1.53	   0.47	  -0.1	   1.3	   2.6	   2.9	   0.45	sync	 137	1103	 680
SPT-S_J052844-5408.0	  82.185	 -54.135	   0.99	   1.26	   0.63	   0.93	   0.43	   3.61	  12.15	   0.88	   1.12	   0.50	   6.2	   1.2	   2.5	   2.6	   0.44	sync	  63	 335	 363
SPT-S_J052844-5520.3	  82.186	 -55.339	   3.17	   4.04	   0.41	   0.69	   0.24	   1.77	   5.97	   0.81	   2.16	   0.62	   1.1	   1.8	   2.3	   3.1	   0.50	dust	 281	 321	   5
SPT-S_J052845-5935.9	  82.188	 -59.599	   3.06	   3.73	   0.35	   0.44	   0.20	   1.15	   3.66	   0.58	   1.32	   0.42	  -0.1	   1.3	   2.5	   2.9	   0.46	sync	 296	 133	1096
SPT-S_J052846-5919.9	  82.192	 -59.333	  12.49	  15.25	  14.99	   1.38	   1.41	   5.47	  17.47	  16.62	   3.57	   3.64	   0.4	   0.3	   0.6	   0.7	   0.00	sync	   6	   7	 708
SPT-S_J052846-5255.8	  82.193	 -52.930	   0.00	  -0.77	   0.33	   0.47	   0.21	   3.38	  11.37	   0.63	   0.79	   0.34	   NaN	   2.2	   1.9	   2.7	   0.58	dust	 271	1113	 797
SPT-S_J052848-5225.8	  82.200	 -52.430	   3.48	   4.44	   0.32	   0.43	   0.17	   0.00	  -0.31	   0.44	   0.96	   0.31	   NaN	   0.6	   2.8	   2.5	   0.36	sync	 371	1203	1565
SPT-S_J052849-5719.7	  82.205	 -57.328	   0.00	  -0.95	   0.34	   0.49	   0.22	   4.29	  14.44	   0.69	   0.95	   0.38	   NaN	   2.4	   1.8	   2.6	   0.62	dust	 396	1474	 359
SPT-S_J052849-5520.1	  82.207	 -55.335	   1.66	   2.11	   0.96	   1.20	   0.67	   3.40	  11.45	   1.04	   1.18	   0.60	   4.6	   0.5	   2.8	   2.3	   0.34	sync	 263	 277	  49
SPT-S_J052849-5142.7	  82.207	 -51.712	   0.19	   0.24	   0.41	   0.62	   0.26	   3.09	  10.69	   0.67	   0.82	   0.36	  10.3	   1.8	   2.2	   2.7	   0.51	dust	 114	1805	 841
SPT-S_J052849-5747.5	  82.208	 -57.792	   0.00	  -0.95	   0.32	   0.44	   0.20	   3.70	  11.82	   0.63	   0.84	   0.33	   NaN	   2.4	   1.8	   2.6	   0.62	dust	 135	1765	1659
SPT-S_J052850-5300.3	  82.212	 -53.006	   1.13	   1.44	   1.11	   1.41	   0.80	   5.09	  17.14	   1.59	   8.06	   1.06	   6.7	   2.3	   2.0	   3.2	   0.58	dust	  45	 856	 611
SPT-S_J052852-5759.9	  82.219	 -57.999	   3.06	   3.74	   0.28	   0.32	   0.14	   0.00	  -1.97	   0.37	   0.70	   0.25	   NaN	   0.5	   2.8	   2.4	   0.35	sync	  39	1219	 927
SPT-S_J052852-5457.6	  82.220	 -54.960	   6.87	   8.75	   8.19	   1.36	   1.36	   2.41	   8.11	   6.85	   3.12	   2.67	  -0.2	  -0.4	   1.2	   1.4	   0.01	sync	  30	1278	1317
SPT-S_J052853-5949.4	  82.224	 -59.824	   0.00	  -1.19	   0.30	   0.43	   0.18	   3.76	  12.02	   0.62	   0.83	   0.34	   NaN	   2.5	   1.8	   2.6	   0.63	dust	  76	 698	1001
SPT-S_J052854-5239.0	  82.225	 -52.651	   3.56	   4.54	   0.28	   0.35	   0.15	   0.00	  -5.33	   0.34	   0.64	   0.23	   NaN	   0.1	   2.8	   2.2	   0.30	sync	 114	1614	1258
SPT-S_J052858-5127.7	  82.244	 -51.462	   3.57	   4.60	   0.31	   0.45	   0.17	   0.00	  -1.00	   0.44	   0.94	   0.30	   NaN	   0.5	   2.8	   2.4	   0.36	sync	 372	2040	1063
SPT-S_J052858-5117.9	  82.244	 -51.299	   0.58	   0.74	   0.49	   0.74	   0.34	   3.06	  10.60	   0.73	   0.87	   0.40	   7.2	   1.5	   2.4	   2.7	   0.47	sync	 450	1758	 810
SPT-S_J052858-5507.6	  82.246	 -55.127	   0.94	   1.20	   0.60	   0.88	   0.42	   3.33	  11.22	   0.83	   0.99	   0.46	   6.1	   1.2	   2.5	   2.6	   0.43	sync	 314	 743	 774
SPT-S_J052859-5729.6	  82.247	 -57.494	   2.04	   2.49	   1.32	   1.28	   0.93	   3.52	  11.23	   1.23	   1.41	   0.69	   4.1	   0.1	   2.9	   2.1	   0.30	sync	  21	1288	 701
SPT-S_J052901-5040.8	  82.257	 -50.681	   0.05	   0.06	   0.40	   0.61	   0.26	   3.34	  11.57	   0.68	   0.85	   0.37	  14.2	   1.9	   2.2	   2.7	   0.53	dust	 556	 693	 152
SPT-S_J052902-5852.8	  82.262	 -58.880	   0.39	   0.47	   0.44	   0.67	   0.28	   3.10	   9.89	   0.71	   0.87	   0.39	   8.3	   1.7	   2.3	   2.7	   0.50	sync	 335	 233	 567
SPT-S_J052903-5436.6	  82.263	 -54.611	   7.34	   9.34	   9.17	   1.31	   1.31	  10.96	  36.89	  35.38	   4.77	   4.77	   3.7	   3.7	   0.5	   0.5	   1.00	dust	 121	 543	1757
SPT-S_J052903-5007.7	  82.264	 -50.129	   3.08	   3.97	   0.29	   0.34	   0.15	   0.00	  -0.43	   0.41	   0.83	   0.28	   NaN	   0.7	   2.8	   2.5	   0.37	sync	 182	 444	 369
SPT-S_J052903-5524.8	  82.264	 -55.415	   1.27	   1.62	   0.72	   1.02	   0.50	   3.30	  11.11	   0.91	   1.06	   0.52	   5.2	   0.9	   2.7	   2.5	   0.39	sync	  96	 355	 317
SPT-S_J052904-5014.0	  82.268	 -50.234	   0.00	  -0.62	   0.33	   0.50	   0.22	   3.32	  11.50	   0.64	   0.78	   0.34	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 529	 776	 577
SPT-S_J052904-5215.3	  82.270	 -52.255	   3.16	   4.03	   0.34	   0.45	   0.19	   1.03	   3.48	   0.56	   1.31	   0.41	  -0.4	   1.2	   2.6	   2.8	   0.45	sync	 268	 957	1118
SPT-S_J052904-5538.8	  82.271	 -55.647	   6.44	   8.21	   7.28	   1.37	   1.38	   0.00	  -0.02	   3.56	   1.66	   0.94	   NaN	  -2.0	   1.1	   0.7	   0.00	sync	   4	1165	1122
SPT-S_J052907-5227.0	  82.281	 -52.451	   0.08	   0.10	   0.41	   0.59	   0.28	   3.35	  11.29	   0.69	   0.87	   0.38	  12.8	   1.9	   2.2	   2.7	   0.53	dust	 563	1081	1459
SPT-S_J052908-5947.9	  82.284	 -59.800	   3.13	   3.82	   0.30	   0.37	   0.16	   0.12	   0.39	   0.43	   0.90	   0.30	  -6.2	   0.8	   2.7	   2.6	   0.39	sync	 195	 639	1094
SPT-S_J052910-5315.8	  82.293	 -53.264	   0.22	   0.28	   0.43	   0.62	   0.28	   3.17	  10.68	   0.69	   0.86	   0.38	   9.9	   1.8	   2.2	   2.7	   0.51	dust	 499	 343	 815
SPT-S_J052916-5048.1	  82.317	 -50.803	   3.14	   4.04	   0.27	   0.31	   0.14	   0.00	  -3.87	   0.35	   0.64	   0.23	   NaN	   0.4	   2.8	   2.3	   0.33	sync	 570	 523	 383
SPT-S_J052918-5813.2	  82.325	 -58.221	   0.00	  -0.01	   0.38	   0.56	   0.24	   3.09	   9.88	   0.66	   0.83	   0.35	   NaN	   1.9	   2.1	   2.7	   0.54	dust	 449	 397	 412
SPT-S_J052918-5419.8	  82.326	 -54.331	   0.00	  -0.43	   0.35	   0.52	   0.23	   3.61	  12.16	   0.67	   0.87	   0.36	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 580	 745	1026
SPT-S_J052919-5647.1	  82.332	 -56.786	   0.62	   0.79	   0.51	   0.75	   0.35	   3.30	  11.12	   0.76	   0.94	   0.42	   7.2	   1.5	   2.4	   2.7	   0.48	sync	 389	2000	1217
SPT-S_J052921-5202.0	  82.339	 -52.034	   0.81	   1.05	   0.55	   0.83	   0.37	   3.18	  11.02	   0.77	   0.93	   0.43	   6.4	   1.3	   2.5	   2.6	   0.45	sync	 406	1230	 408
SPT-S_J052922-5056.9	  82.342	 -50.949	   3.40	   4.38	   0.29	   0.38	   0.16	   0.00	  -2.01	   0.39	   0.80	   0.26	   NaN	   0.5	   2.8	   2.4	   0.35	sync	 497	 574	 260
SPT-S_J052923-5840.0	  82.346	 -58.667	   3.36	   4.11	   0.39	   0.63	   0.23	   1.33	   4.25	   0.71	   1.69	   0.53	   0.1	   1.4	   2.5	   2.9	   0.46	sync	 217	 889	 442
SPT-S_J052923-5740.4	  82.346	 -57.674	   1.15	   1.41	   0.66	   0.96	   0.45	   3.27	  10.45	   0.87	   1.06	   0.49	   5.5	   1.0	   2.6	   2.5	   0.41	sync	 217	1299	1349
SPT-S_J052923-5823.7	  82.347	 -58.396	   1.19	   1.46	   0.73	   1.01	   0.49	   3.75	  12.00	   0.98	   1.26	   0.56	   5.7	   1.2	   2.6	   2.6	   0.44	sync	 379	 242	 455
SPT-S_J052923-5734.6	  82.347	 -57.578	   0.00	  -0.63	   0.33	   0.46	   0.21	   3.17	  10.13	   0.62	   0.78	   0.32	   NaN	   2.2	   2.0	   2.7	   0.59	dust	 349	1149	1058
SPT-S_J052924-5658.6	  82.353	 -56.978	   0.76	   0.97	   0.52	   0.82	   0.35	   3.09	  10.40	   0.77	   0.90	   0.43	   6.4	   1.3	   2.5	   2.6	   0.45	sync	 216	2107	 955
SPT-S_J052925-5554.8	  82.355	 -55.915	   0.68	   0.86	   0.51	   0.76	   0.34	   3.02	  10.17	   0.73	   0.90	   0.40	   6.7	   1.4	   2.4	   2.6	   0.46	sync	 260	1147	 591
SPT-S_J052925-5138.7	  82.357	 -51.646	   3.59	   4.63	   0.33	   0.49	   0.18	   0.00	  -0.19	   0.46	   1.04	   0.32	   NaN	   0.6	   2.8	   2.5	   0.36	sync	 308	2167	1118
SPT-S_J052927-5825.5	  82.363	 -58.425	   0.00	  -2.49	   0.23	   0.31	   0.13	   3.08	   9.85	   0.53	   0.63	   0.26	   NaN	   2.7	   1.6	   2.5	   0.68	dust	 290	 345	 514
SPT-S_J052927-5833.7	  82.363	 -58.563	   4.00	   4.89	   0.43	   1.42	   0.26	   0.18	   0.59	   0.65	   1.48	   0.48	  -5.8	   0.3	   2.9	   2.3	   0.33	sync	 211	 842	 772
SPT-S_J052927-5016.3	  82.365	 -50.272	   1.18	   1.52	   0.66	   0.96	   0.45	   3.02	  10.45	   0.83	   0.94	   0.47	   5.2	   0.9	   2.7	   2.5	   0.40	sync	 667	 611	 608
SPT-S_J052931-5427.8	  82.382	 -54.465	   1.52	   1.93	   1.02	   1.24	   0.71	   4.18	  14.07	   1.17	   1.87	   0.69	   5.4	   1.0	   2.7	   2.6	   0.42	sync	 232	 594	1499
SPT-S_J052932-5645.9	  82.387	 -56.765	   3.20	   4.07	   0.29	   0.36	   0.15	   0.00	  -0.76	   0.40	   0.82	   0.27	   NaN	   0.6	   2.8	   2.5	   0.37	sync	 391	1870	1113
SPT-S_J052935-5226.0	  82.397	 -52.435	   1.33	   1.69	   0.75	   1.04	   0.53	   3.24	  10.92	   0.91	   1.04	   0.51	   5.1	   0.8	   2.7	   2.5	   0.39	sync	 575	 837	1318
SPT-S_J052935-5109.7	  82.397	 -51.162	   3.67	   4.73	   0.43	   1.00	   0.26	   1.16	   4.03	   0.77	   1.91	   0.58	  -0.4	   1.1	   2.7	   2.7	   0.42	sync	 338	1179	 557
SPT-S_J052935-5804.9	  82.398	 -58.083	   0.07	   0.08	   0.40	   0.56	   0.26	   3.13	   9.99	   0.68	   0.82	   0.37	  13.0	   1.9	   2.1	   2.7	   0.54	dust	 253	 849	 807
SPT-S_J052937-5320.3	  82.404	 -53.340	   0.00	  -0.51	   0.34	   0.50	   0.21	   3.04	  10.24	   0.62	   0.75	   0.33	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 642	 554	1161
SPT-S_J052937-5515.9	  82.406	 -55.265	   4.26	   5.42	   1.51	   3.38	   1.23	   1.49	   5.03	   2.16	   2.90	   1.77	  -0.2	   0.5	   2.7	   2.2	   0.31	sync	 516	 257	 436
SPT-S_J052937-5601.1	  82.408	 -56.019	   3.82	   4.86	   0.34	   0.60	   0.19	   0.00	  -0.92	   0.48	   1.09	   0.34	   NaN	   0.4	   2.9	   2.3	   0.34	sync	  18	 757	 213
SPT-S_J052938-5936.9	  82.410	 -59.616	   3.41	   4.17	   0.42	   0.73	   0.25	   1.45	   4.65	   0.78	   1.90	   0.59	   0.3	   1.5	   2.5	   2.9	   0.46	sync	 160	 457	1425
SPT-S_J052938-5115.9	  82.411	 -51.266	   0.00	  -0.05	   0.39	   0.57	   0.25	   3.24	  11.24	   0.66	   0.82	   0.36	   NaN	   1.9	   2.1	   2.7	   0.54	dust	 124	1473	 932
SPT-S_J052939-5817.0	  82.413	 -58.284	   3.98	   4.86	   0.44	   1.63	   0.26	   0.42	   1.34	   0.71	   1.62	   0.53	  -3.5	   0.4	   2.9	   2.4	   0.34	sync	 550	 192	 576
SPT-S_J052941-5405.9	  82.422	 -54.098	   3.04	   3.87	   0.29	   0.33	   0.15	   0.00	  -0.75	   0.40	   0.78	   0.27	   NaN	   0.6	   2.8	   2.5	   0.37	sync	 489	 496	 197
SPT-S_J052942-5944.4	  82.425	 -59.741	   3.92	   4.79	   0.68	   2.72	   0.45	   1.58	   5.05	   1.40	   2.71	   1.12	   0.1	   1.1	   2.6	   2.6	   0.41	sync	 339	 618	1347
SPT-S_J052942-5506.6	  82.428	 -55.111	   0.00	  -0.73	   0.32	   0.47	   0.20	   3.10	  10.45	   0.62	   0.74	   0.33	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 119	 790	 625
SPT-S_J052942-5140.0	  82.429	 -51.667	   0.00	  -0.35	   0.34	   0.53	   0.22	   3.02	  10.46	   0.62	   0.76	   0.33	   NaN	   2.0	   2.1	   2.7	   0.55	dust	 258	2037	1102
SPT-S_J052944-5518.6	  82.435	 -55.311	   3.14	   4.00	   0.33	   0.44	   0.18	   0.96	   3.24	   0.54	   1.26	   0.39	  -0.6	   1.2	   2.6	   2.8	   0.44	sync	 419	 201	 437
SPT-S_J052944-5722.1	  82.436	 -57.370	   3.59	   4.38	   0.35	   0.54	   0.20	   0.25	   0.80	   0.51	   1.15	   0.36	  -4.6	   0.7	   2.8	   2.5	   0.37	sync	 317	1003	 810
SPT-S_J052944-5345.1	  82.437	 -53.752	   1.88	   2.40	   1.12	   1.28	   0.80	   3.33	  11.20	   1.10	   1.22	   0.63	   4.2	   0.2	   2.9	   2.1	   0.31	sync	 463	 834	  11
SPT-S_J052946-5724.9	  82.443	 -57.416	   3.63	   4.44	   0.81	   2.42	   0.56	   2.28	   7.30	   2.07	   3.98	   1.71	   1.4	   2.0	   2.1	   2.8	   0.55	dust	 217	 936	 859
SPT-S_J052947-5430.9	  82.448	 -54.515	   3.14	   4.00	   0.38	   0.56	   0.22	   1.53	   5.16	   0.69	   1.76	   0.51	   0.7	   1.6	   2.4	   3.0	   0.48	sync	 219	 727	1403
SPT-S_J052948-5920.9	  82.453	 -59.348	   3.14	   3.84	   0.27	   0.32	   0.14	   0.00	  -3.44	   0.34	   0.63	   0.22	   NaN	   0.3	   2.8	   2.3	   0.32	sync	 393	 237	1014
SPT-S_J052948-5805.4	  82.454	 -58.092	   3.23	   3.94	   0.32	   0.41	   0.18	   0.36	   1.15	   0.47	   1.02	   0.32	  -3.3	   0.8	   2.7	   2.6	   0.40	sync	 142	 747	 861
SPT-S_J052951-5631.9	  82.464	 -56.532	   3.17	   4.03	   0.40	   0.64	   0.24	   1.70	   5.71	   0.77	   2.02	   0.58	   0.9	   1.7	   2.3	   3.0	   0.50	dust	 358	1106	 276
SPT-S_J052954-5421.6	  82.477	 -54.361	   3.21	   4.09	   0.27	   0.33	   0.14	   0.00	  -3.11	   0.36	   0.67	   0.24	   NaN	   0.4	   2.8	   2.3	   0.33	sync	 358	 917	1142
SPT-S_J052954-5224.8	  82.479	 -52.414	   0.63	   0.80	   0.49	   0.75	   0.33	   3.04	  10.24	   0.74	   0.88	   0.40	   6.9	   1.4	   2.4	   2.6	   0.47	sync	 384	 650	1269
SPT-S_J052955-5436.4	  82.482	 -54.607	   2.07	   2.64	   1.30	   1.35	   0.92	   3.30	  11.10	   1.18	   1.25	   0.67	   3.9	  -0.1	   2.9	   2.0	   0.27	sync	 261	 893	1385
SPT-S_J052955-5444.6	  82.482	 -54.744	   3.20	   4.07	   0.27	   0.32	   0.14	   0.00	  -3.55	   0.35	   0.66	   0.23	   NaN	   0.4	   2.8	   2.3	   0.33	sync	 193	1205	1592
SPT-S_J052956-5414.9	  82.483	 -54.248	   1.65	   2.10	   0.95	   1.20	   0.68	   3.39	  11.41	   1.02	   1.20	   0.58	   4.6	   0.5	   2.8	   2.3	   0.34	sync	 654	 927	 750
SPT-S_J052956-5006.3	  82.485	 -50.105	   3.04	   3.92	   0.28	   0.35	   0.15	   0.00	  -0.36	   0.40	   0.82	   0.27	   NaN	   0.7	   2.8	   2.6	   0.37	sync	 227	 365	 150
SPT-S_J052957-5156.3	  82.488	 -51.939	   0.78	   1.01	   0.54	   0.82	   0.36	   3.25	  11.25	   0.77	   0.95	   0.42	   6.6	   1.3	   2.5	   2.6	   0.45	sync	  46	1363	 589
SPT-S_J052957-5948.5	  82.491	 -59.808	   3.34	   4.07	   0.31	   0.40	   0.17	   0.00	  -0.19	   0.44	   0.90	   0.31	   NaN	   0.6	   2.8	   2.5	   0.36	sync	 188	 870	1233
SPT-S_J052959-5602.9	  82.497	 -56.050	   3.71	   4.72	   0.38	   0.74	   0.21	   0.56	   1.88	   0.60	   1.44	   0.43	  -2.5	   0.8	   2.8	   2.5	   0.38	sync	  81	 631	  68
SPT-S_J053002-5941.7	  82.508	 -59.695	   3.28	   4.01	   0.33	   0.43	   0.18	   0.38	   1.23	   0.48	   1.04	   0.34	  -3.2	   0.8	   2.7	   2.6	   0.40	sync	 364	 670	1517
SPT-S_J053004-5620.6	  82.517	 -56.344	   0.25	   0.32	   0.41	   0.64	   0.27	   3.05	  10.26	   0.68	   0.83	   0.37	   9.4	   1.7	   2.2	   2.7	   0.51	dust	  93	 435	 445
SPT-S_J053005-5320.1	  82.525	 -53.336	   3.38	   4.31	   0.30	   0.39	   0.16	   0.00	  -1.03	   0.42	   0.85	   0.28	   NaN	   0.6	   2.8	   2.5	   0.35	sync	 639	 411	1091
SPT-S_J053006-5429.1	  82.525	 -54.486	   0.00	  -1.08	   0.31	   0.42	   0.20	   3.14	  10.58	   0.59	   0.73	   0.30	   NaN	   2.3	   1.9	   2.7	   0.60	dust	 116	 885	1241
SPT-S_J053006-5423.9	  82.526	 -54.398	   0.56	   0.71	   0.49	   0.72	   0.32	   3.16	  10.62	   0.73	   0.90	   0.40	   7.4	   1.5	   2.4	   2.7	   0.48	sync	 232	 949	1293
SPT-S_J053006-5715.2	  82.529	 -57.253	   3.21	   4.09	   0.30	   0.39	   0.16	   0.18	   0.59	   0.44	   0.95	   0.31	  -5.3	   0.8	   2.8	   2.6	   0.39	sync	 620	1100	 462
SPT-S_J053009-5058.2	  82.540	 -50.970	   3.74	   4.82	   0.41	   0.97	   0.24	   0.83	   2.89	   0.69	   1.70	   0.52	  -1.4	   0.9	   2.8	   2.6	   0.40	sync	 105	 446	 325
SPT-S_J053011-5742.9	  82.549	 -57.716	   0.96	   1.17	   0.60	   0.87	   0.41	   3.39	  10.82	   0.84	   1.06	   0.47	   6.0	   1.3	   2.5	   2.6	   0.44	sync	 201	1106	1688
SPT-S_J053012-5526.4	  82.552	 -55.440	   3.10	   3.94	   0.44	   0.76	   0.27	   2.01	   6.77	   0.91	   2.53	   0.71	   1.5	   2.0	   2.2	   3.1	   0.54	dust	 402	 596	 707
SPT-S_J053014-5641.1	  82.562	 -56.686	   3.01	   3.84	   0.34	   0.43	   0.19	   1.18	   3.97	   0.56	   1.32	   0.41	   0.1	   1.4	   2.5	   2.9	   0.46	sync	 296	1424	 789
SPT-S_J053014-5432.6	  82.562	 -54.544	   3.20	   4.08	   0.36	   0.49	   0.20	   1.16	   3.92	   0.60	   1.42	   0.44	  -0.1	   1.3	   2.6	   2.9	   0.45	sync	  23	 980	1173
SPT-S_J053015-5509.9	  82.566	 -55.165	   0.13	   0.17	   0.42	   0.63	   0.27	   3.57	  12.01	   0.71	   0.92	   0.38	  11.6	   1.9	   2.2	   2.7	   0.53	dust	 275	 512	 312
SPT-S_J053016-5237.0	  82.569	 -52.618	   0.68	   0.86	   0.59	   0.86	   0.39	   4.12	  13.87	   0.90	   1.25	   0.52	   7.6	   1.7	   2.3	   2.7	   0.49	sync	 510	 881	 593
SPT-S_J053016-5831.2	  82.569	 -58.522	   0.00	  -0.05	   0.37	   0.55	   0.24	   3.04	   9.70	   0.66	   0.80	   0.36	   NaN	   1.9	   2.1	   2.7	   0.54	dust	 427	 796	 907
SPT-S_J053018-5924.4	  82.576	 -59.407	   3.85	   4.70	   0.36	   0.68	   0.20	   0.00	  -0.61	   0.51	   1.13	   0.35	   NaN	   0.3	   2.9	   2.3	   0.33	sync	 395	 443	1322
SPT-S_J053018-5548.6	  82.579	 -55.811	   1.27	   1.62	   0.70	   1.03	   0.49	   3.20	  10.78	   0.88	   1.03	   0.51	   5.2	   0.8	   2.7	   2.5	   0.39	sync	 506	1502	 616
SPT-S_J053019-5654.6	  82.583	 -56.911	   0.66	   0.84	   0.49	   0.77	   0.33	   3.06	  10.29	   0.74	   0.89	   0.41	   6.8	   1.4	   2.4	   2.6	   0.47	sync	 662	2052	 939
SPT-S_J053020-5101.6	  82.585	 -51.027	   1.53	   1.97	   0.86	   1.18	   0.60	   3.43	  11.88	   0.99	   1.16	   0.58	   4.9	   0.6	   2.8	   2.4	   0.36	sync	 133	 658	 403
SPT-S_J053020-5855.6	  82.585	 -58.927	   3.18	   3.89	   0.33	   0.44	   0.18	   0.77	   2.47	   0.53	   1.17	   0.38	  -1.2	   1.1	   2.7	   2.8	   0.42	sync	 747	 406	 601
